卢	21513
卤	2125341
卦	12112124
卧	12512524
卫	521
卮	33155
卯	35352
印	35152
危	351355
即	5115452
却	1215452
卵	3543524
卷	43113455
卸	311212152
卻	343425152
卿	3535115452
厂	13
厄	1355
厅	1312
历	1353
厉	13153
压	131214
厌	131344
厕	13253422
厘	132511211
厚	132511521
厝	1312212511
原	1332511234
厢	13123425111
厥	134315233534
厦	131325111354
厨	131251431124
厩	13511541535
厭	13251125111344
厮	13122111343312
厲	13122251125214
厳	4431351221113134
去	12154
县	2511154
叁	54134111
参	54134333
參	54545434333
又	54
叉	544
及	354
友	1354
双	5454
反	3354
収	5254
发	53544
叔	21123454
取	12211154
受	34434554
变	41223454
叙	341123454
叛	431133354
叟	321511254
叠	5454544525111
叡	2145134342511154
叢	224314311212211154
口	251
古	12251
句	35251
另	25153
叨	25153
叩	25152
只	25134
叫	25152
召	53251
叭	25134
叮	25112
可	12512
台	54251
叱	25135
史	25134
右	13251
叵	12515
叶	25112
号	25115
司	51251
叹	25154
叻	25153
叼	25151
叽	25135
吁	251112
吃	251315
各	354251
吆	251554
合	341251
吉	121251
吊	251252
吋	251124
同	251251
名	354251
后	331251
吏	125134
吐	251121
向	325251
吒	251315
吓	251124
吕	251251
吖	251432
吗	251551
君	5113251
吝	4134251
吞	1134251
吟	2513445
吠	2511344
吡	2511535
否	1324251
吧	2515215
吨	2511525
吩	2513453
含	3445251
听	2513312
吭	2514135
吮	2515435
启	4513251
吱	2511254
吳	2515134
吴	2511134
吵	2512343
吶	2512534
吸	251354
吹	2513534
吻	2513533
吼	2515215
吽	2513112
吾	1251251
呀	2511523
呂	2513251
呃	2511355
呆	2511234
呈	2511121
告	3121251
呋	2511134
呎	2515134
呐	2512534
呓	2511225
呕	2511345
呗	2512534
员	2512534
呛	2513455
呜	2513551
呢	25151335
呤	25134454
呦	25155453
周	35121251
呱	25133544
呲	251212135
味	25111234
呵	25112512
呷	25125112
呸	25113241
呻	25125112
呼	25134312
命	34125152
咀	25125111
咁	25112211
咂	25112525
咄	25152252
咆	25135515
咋	25131211
和	31234251
咎	35424251
咏	25145534
咐	25132124
咒	25125135
咔	25121124
咕	25112251
咖	25153251
咗	25113121
咘	25113252
咙	25113534
咚	25135444
咛	25144512
咣	251243135
咤	251445315
咦	251151534
咧	251135422
咨	413534251
咩	251431112
咪	251431234
咫	513425134
咬	251413434
咭	251121251
咯	251354251
咱	251325111
咲	251431134
咳	251415334
咸	131251534
咻	251321234
咽	251251341
咿	251325113
哀	412513534
品	251251251
哂	251125351
哄	251122134
哆	251354354
哇	251121121
哈	251341251
哉	121251534
哋	251121525
哌	251333534
响	251325251
哎	25112234
哏	251511534
哐	251111215
哑	251122431
哒	251134454
哔	251153512
哗	251323512
哟	251551354
員	2512511134
哥	1251212512
哦	2513121534
哧	2511213234
哨	2512432511
哩	2512511211
哪	251511352
哭	2512511344
哮	2511213521
哲	1213312251
哺	2511251124
哼	2514125152
哽	2511251134
唁	2514111251
唄	2512511134
唆	2515434354
唇	1311534251
唉	2515431134
唏	2513413252
唐	4135112251
唑	2513434121
唔	2511251251
唠	2511224553
唤	2513525134
唧	2515115452
唬	25121531535
售	32411121251
唯	25132411121
唰	25151325222
唱	25125112511
唳	25145131344
唷	25141542511
唸	25134454544
